subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
266,-3.1309580647540924,-3.1446842450816903,202769938.77155077
267,-3.1309580647541027,-3.1446842450816788,267019625.39541498
268,-3.130958064754103,-3.1446842450816765,267019827.76629767
269,-3.130962360698837,-3.1446842450816823,270543795.6125878
270,-3.1309663914686077,-3.1446842450816734,270554071.5410458
271,-3.130966391468604,-3.144684245081677,271033453.6378098
272,-3.1309663914686188,-3.144684245081686,271046265.95560753
273,-3.1309663915363246,-3.144684245081677,294116733.50507015
274,-3.1309663916006603,-3.1446842450816734,294130594.73257613
275,-3.1309786340175156,-3.1446842450816828,303240962.6080572
276,-3.130991013788041,-3.144684245081675,303243045.82913345
277,-3.130991013788041,-3.1446842450816765,310537749.0104191
278,-3.130991013788038,-3.144684245081683,310563844.1810021
279,-3.130991013788037,-3.144684245081681,341163242.4432285
280,-3.1309910137880435,-3.1446842450816876,341182986.68202764
281,-3.1309910137880412,-3.1446842450816814,375316267.05321187
282,-3.1309910137880403,-3.1446842450816845,375320347.1407696
283,-3.131001869444325,-3.1446842450816868,377034854.4804584
284,-3.13101287370748,-3.1446842450816765,377039107.9570324
285,-3.131012873707481,-3.1446842450816845,387310567.23120874
286,-3.13101287370747,-3.14468424508168,387347695.16449594
287,-3.1310128737074763,-3.144684245081691,393151188.26082414
288,-3.1310128737074705,-3.144684245081672,393169992.12119704
289,-3.1310174586017725,-3.144684245081681,422590949.7001528
290,-3.13102181722476,-3.1446842450816783,422605136.43462336
291,-3.131025270659568,-3.14468424508168,449286126.645139
292,-3.1310287982886718,-3.144684245081681,449290234.27759486
293,-3.1310287982886775,-3.1446842450816734,450471228.3717935
294,-3.131028798288664,-3.144684245081686,450476214.9949151
295,-3.131028799161679,-3.1446842450816757,456039431.9584537
296,-3.131028799996223,-3.144684245081682,456065505.11381817
297,-3.1310296212330275,-3.144684245081687,494238986.51102597
298,-3.131030406317308,-3.1446842450816934,494268444.07496774
299,-3.1310307482343673,-3.1446842450816876,501692081.9401232
300,-3.1310310754133925,-3.144684245081676,501697887.16616535
301,-3.1310310754133828,-3.144684245081685,504907602.353654
302,-3.131031075413383,-3.1446842450816788,504937414.58373815
303,-3.1310310754133863,-3.144684245081677,521363651.05189323
304,-3.1310310754133823,-3.1446842450816854,521373715.14931935
305,-3.131046738397012,-3.1446842450816828,522509146.96905285
306,-3.1310613201380777,-3.144684245081692,522558228.08381927
307,-3.131090045682949,-3.1446842450816725,574822519.0387717
308,-3.1311190749921765,-3.1446842450816694,574836996.9723669
309,-3.1323238763762262,-3.1446842450816743,635011016.0213021
310,-3.132337799891718,-3.1446842450816765,664892634.759158
311,-3.132350659489007,-3.144684245081674,664964295.6019515
312,-3.1323506598154025,-3.1446842450816894,674919177.3675157
313,-3.13235066012564,-3.144684245081695,674959500.5378006
314,-3.1323822604824048,-3.1446842450816685,686576200.3658489
315,-3.132414252789133,-3.1446842450816805,686596403.7542886
316,-3.132414479254273,-3.1446842450816814,696916765.0265121
317,-3.1324146960110406,-3.144684245081676,696929729.8937325
318,-3.1324221795506686,-3.144684245081678,773319984.6739986
319,-3.132429791886757,-3.144684245081674,773337760.1803359
320,-3.1324312419999214,-3.144684245081669,798495390.7135143
321,-3.132432635987852,-3.144684245081682,798539597.2039471
322,-3.1346532386387156,-3.1446842450816797,921080150.7532209
323,-3.137020696814076,-3.1446842450816828,921167748.1688561
324,-3.1370206968140635,-3.144684245081686,1068466121.605428
325,-3.137020696814072,-3.1446842450816828,1068476699.9226131
326,-3.1370206968140613,-3.144684245081681,1175371287.8480225
327,-3.1370206968140595,-3.1446842450816876,1175440451.3136647
328,-3.1386734540428196,-3.1446842450816894,1336148991.0340562
329,-3.1386734540428236,-3.144684245081682,1549804509.7378628
330,-3.138673454042806,-3.1446842450816823,1549967245.9313471
331,-3.1386734540428076,-3.144684245081676,1581210171.043645
332,-3.138673454042821,-3.14468424508167,1581379392.3111086
333,-3.1386734540428156,-3.144684245081679,1632776804.0447898
334,-3.138673454042815,-3.144684245081679,1632823613.107031
335,-3.138673454042808,-3.1446842450816854,1704970214.34523
336,-3.138673454042813,-3.144684245081672,1705032031.212779
337,-3.1394721501806315,-3.144684245081685,1797813150.9356096
338,-3.139477188049566,-3.1446842450816765,1977673409.8912466
339,-3.1394819248459345,-3.1446842450816757,1977809365.0158625
340,-3.1394856402189526,-3.1446842450816703,2175677149.202173
341,-3.1394856402189606,-3.14468424508168,2293755188.324332
342,-3.139485640218955,-3.144684245081683,2293782520.80447
343,-3.1394856402189526,-3.1446842450816788,2368402093.4584694
344,-3.1394856402189673,-3.1446842450816845,2368559432.666321
345,-3.140989350964998,-3.144684245081685,2660535732.881494
346,-3.142594099365068,-3.1446842450816788,2660846807.0505404
347,-3.142594829664045,-3.1446842450816797,2747301472.336219
348,-3.1425955661823526,-3.144684245081674,2747407433.369301
349,-3.1425965205103585,-3.144684245081676,2926907329.4485145
350,-3.1425974851922263,-3.144684245081695,2927048328.331169
351,-3.1427887277761335,-3.144684245081678,3022268818.24975
352,-3.142981719721282,-3.1446842450816823,3022360014.2654934
353,-3.1429824335889784,-3.144684245081676,3531149250.258791
354,-3.1429831115346785,-3.1446842450816854,3531251469.067783
355,-3.1440797371469063,-3.1446842450816757,3937716222.732841
356,-3.1440801506677443,-3.144684245081678,3957878322.037286
357,-3.1440805457662098,-3.1446842450816854,3957941269.734727
358,-3.1440899319795244,-3.144684245081682,4065814984.9773006
359,-3.1440987584299593,-3.1446842450816908,4066133539.4430423
360,-3.1441005432141917,-3.144684245081681,4198409875.283689
361,-3.1441005432141984,-3.1446842450816774,4650163876.164176
362,-3.144100543214204,-3.1446842450816765,4650255865.470805
363,-3.144100543214197,-3.144684245081678,4720154746.789604
364,-3.144100543214188,-3.144684245081695,4720288079.385483
365,-3.14410054321419,-3.1446842450816805,5211971721.812763
366,-3.1441005432142055,-3.1446842450816934,5212308599.933556
367,-3.14410054321421,-3.144684245081678,5290567954.9643545
368,-3.144100543214197,-3.1446842450816646,5290655802.918457
369,-3.1441005432142077,-3.144684245081682,5408137668.524346
370,-3.144100543214206,-3.144684245081681,5408489234.881435
371,-3.144100543214206,-3.1446842450816783,6061791715.286662
372,-3.1441005432141997,-3.14468424508169,6061913881.018584
373,-3.1441060903098346,-3.144684245081682,11058757510.036123
374,-3.1441117056207863,-3.1446842450816797,11058967892.362455
375,-3.1441191666154693,-3.144684245081686,12394817248.513222
376,-3.144126245336583,-3.1446842450816703,12395608998.584444
377,-3.144134604005656,-3.14468424508168,16040974969.68542
378,-3.1441424469906414,-3.144684245081675,16042195325.826706
379,-3.1441477277403926,-3.14468424508169,17979765889.149708
380,-3.1441530596800313,-3.144684245081682,17980327278.91195
381,-3.1441530596800353,-3.1446842450816894,18607405932.193806
382,-3.1441530596800353,-3.1446842450816783,18607944145.940903
383,-3.1441530596800433,-3.144684245081678,20469555654.889507
384,-3.1441530596800344,-3.1446842450816765,20470370734.685234
385,-3.144153059680036,-3.144684245081679,20855452865.218834
386,-3.1441530596800473,-3.1446842450816743,20856991551.614647
387,-3.144153059680022,-3.144684245081681,22943491078.04138
388,-3.1441530596800353,-3.144684245081672,22943606559.16238
389,-3.144153059680034,-3.1446842450816788,27537400252.064293
390,-3.144153059680038,-3.144684245081674,27539823388.43421
391,-3.144153059680044,-3.144684245081678,28435453552.38337
392,-3.144153059680041,-3.1446842450816757,28435727788.07655
393,-3.144153059680036,-3.144684245081666,30865705523.735878
394,-3.1441530596800233,-3.1446842450816823,30867037065.075935
395,-3.1441530596800353,-3.1446842450816943,31871179826.650036
396,-3.144153059680032,-3.1446842450816823,31872301951.08701
397,-3.144155888299088,-3.1446842450816836,192592634060.3966
398,-3.144417920194607,-3.1446842450816863,215860642610.34677
399,-3.144683416934253,-3.1446842450816757,215870324523.57986
400,-3.1446842450816757,-3.144684245081682,241950618721.7479
